method,chunk_size,chunk_overlap,avg_ndcg,std_ndcg,min_ndcg,max_ndcg,config
fixed,512,50,0.42066707508647144,0.5104806772878593,0.0,1.388151956900782,"fixed
512/50"
recursive,768,100,0.412032870693742,0.4777028358602603,0.0,1.2951337228603526,"recursive
768/100"
recursive,512,50,0.3868631637866748,0.5517357016433707,0.01626583541633757,1.4357598513313352,"recursive
512/50"
semantic,1024,100,0.3641792986804594,0.4157580593152666,0.0,1.1477010107690184,"semantic
1024/100"
fixed,1024,100,0.3308214108250934,0.5152870977595295,0.0,1.1801026365642593,"fixed
1024/100"
recursive,1024,128,0.3235756454341911,0.45211322066906084,0.011481766176238285,1.0654849882240665,"recursive
1024/128"
recursive,1536,200,0.2723203210495625,0.3699176296615953,0.0,0.8727956016724061,"recursive
1536/200"
