Dataset,Alpha (Notebook 1),Expected NDCG (NB1),Expected NDCG (NB2),Actual NDCG,Improvement vs NB1,Match with NB2
convfinqa,0.1,0.4385,0.3175,0.3994802543057645,-0.0390197456942355,No
financebench,0.5,0.867,0.9321,0.8719767574089422,0.004976757408942212,No
finder,0.4,0.4575,0.2818,0.4604414594241063,0.0029414594241062852,No
finqa,0.9,0.4176,0.4212,0.4525159165113362,0.03491591651133619,Yes
finqabench,0.1,0.8716,0.9508,0.8716237438125819,2.374381258185565e-05,No
multiheirtt,0.1,0.0928,0.0966,0.09786834787147408,0.005068347871474088,Yes
tatqa,0.5,0.4224,0.4124,0.4858613679411041,0.06346136794110413,No
